asset_id,machine_type,sop_task,frequency,ppe_required,critical_task,location
CR-MAT-0002,CNC Axle Turning Lathe,Check way cover condition,Monthly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0002,CNC Axle Turning Lathe,Inspect chip conveyor operation,Monthly,No,Yes,LHB Coach Maintenance Facility
CR-MAT-0002,CNC Axle Turning Lathe,Verify axis ball screw backlash,Quarterly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0002,CNC Axle Turning Lathe,Check emergency stop circuit integrity,Monthly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0003,Bogie Wash System,General lubrication of moving parts,Monthly,Yes,Yes,Automatic Bogie Wash Plant
CR-MAT-0003,Bogie Wash System,Check electrical panel health,Quarterly,Yes,Yes,Automatic Bogie Wash Plant
CR-MAT-0003,Bogie Wash System,Inspect structural bolts tightness,Quarterly,Yes,No,Automatic Bogie Wash Plant
CR-MAT-0003,Bogie Wash System,Check vibration levels,Monthly,Yes,No,Automatic Bogie Wash Plant
CR-MAT-0003,Bogie Wash System,Verify emergency stop function,Monthly,Yes,No,Automatic Bogie Wash Plant
CR-MAT-0003,Bogie Wash System,Inspect hydraulic / pneumatic lines,Monthly,Yes,No,Automatic Bogie Wash Plant
CR-MAT-0003,Bogie Wash System,Check sensor calibration,Quarterly,No,Yes,Automatic Bogie Wash Plant
CR-MAT-0003,Bogie Wash System,Inspect safety guards,Monthly,Yes,No,Automatic Bogie Wash Plant
CR-MAT-0003,Bogie Wash System,Check noise levels,Monthly,Yes,No,Automatic Bogie Wash Plant
CR-MAT-0003,Bogie Wash System,Inspect foundation integrity,Yearly,No,No,Automatic Bogie Wash Plant
CR-MAT-0003,Bogie Wash System,Verify control system backup,Quarterly,No,No,Automatic Bogie Wash Plant
CR-MAT-0003,Bogie Wash System,Clean machine body and surroundings,Monthly,Yes,No,Automatic Bogie Wash Plant
CR-MAT-0004,Spring Testing Machine,General lubrication of moving parts,Monthly,Yes,Yes,Trolley Shop
CR-MAT-0004,Spring Testing Machine,Check electrical panel health,Quarterly,No,No,Trolley Shop
CR-MAT-0004,Spring Testing Machine,Inspect structural bolts tightness,Quarterly,Yes,No,Trolley Shop
CR-MAT-0004,Spring Testing Machine,Check vibration levels,Monthly,Yes,No,Trolley Shop
CR-MAT-0004,Spring Testing Machine,Verify emergency stop function,Monthly,No,Yes,Trolley Shop
CR-MAT-0004,Spring Testing Machine,Inspect hydraulic / pneumatic lines,Monthly,Yes,Yes,Trolley Shop
CR-MAT-0004,Spring Testing Machine,Check sensor calibration,Quarterly,Yes,No,Trolley Shop
CR-MAT-0004,Spring Testing Machine,Inspect safety guards,Monthly,Yes,No,Trolley Shop
CR-MAT-0004,Spring Testing Machine,Check noise levels,Monthly,Yes,Yes,Trolley Shop
CR-MAT-0004,Spring Testing Machine,Inspect foundation integrity,Yearly,Yes,No,Trolley Shop
CR-MAT-0004,Spring Testing Machine,Verify control system backup,Quarterly,Yes,Yes,Trolley Shop
CR-MAT-0004,Spring Testing Machine,Clean machine body and surroundings,Monthly,Yes,No,Trolley Shop
CR-MAT-0005,Slotting Machine,General lubrication of moving parts,Monthly,No,No,Lifting Underframe Shop
CR-MAT-0005,Slotting Machine,Check electrical panel health,Quarterly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0005,Slotting Machine,Inspect structural bolts tightness,Quarterly,No,No,Lifting Underframe Shop
CR-MAT-0005,Slotting Machine,Check vibration levels,Monthly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0005,Slotting Machine,Verify emergency stop function,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0005,Slotting Machine,Inspect hydraulic / pneumatic lines,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0005,Slotting Machine,Check sensor calibration,Quarterly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0005,Slotting Machine,Inspect safety guards,Monthly,No,Yes,Lifting Underframe Shop
CR-MAT-0005,Slotting Machine,Check noise levels,Monthly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0005,Slotting Machine,Inspect foundation integrity,Yearly,No,Yes,Lifting Underframe Shop
CR-MAT-0005,Slotting Machine,Verify control system backup,Quarterly,No,Yes,Lifting Underframe Shop
CR-MAT-0005,Slotting Machine,Clean machine body and surroundings,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0006,CNC Axle Turning Lathe,Check CNC axis calibration,Monthly,Yes,No,Shock Absorber Shop
CR-MAT-0006,CNC Axle Turning Lathe,Inspect hydraulic pressure system,Monthly,Yes,Yes,Shock Absorber Shop
CR-MAT-0006,CNC Axle Turning Lathe,Check spindle bearing vibration,Quarterly,No,No,Shock Absorber Shop
CR-MAT-0006,CNC Axle Turning Lathe,Verify servo motor performance,Quarterly,Yes,Yes,Shock Absorber Shop
CR-MAT-0006,CNC Axle Turning Lathe,Inspect lubrication pump operation,Monthly,Yes,No,Shock Absorber Shop
CR-MAT-0006,CNC Axle Turning Lathe,Check tool turret indexing accuracy,Monthly,Yes,No,Shock Absorber Shop
CR-MAT-0006,CNC Axle Turning Lathe,Inspect coolant filtration unit,Monthly,Yes,No,Shock Absorber Shop
CR-MAT-0006,CNC Axle Turning Lathe,Verify CNC backup battery health,Quarterly,Yes,No,Shock Absorber Shop
CR-MAT-0006,CNC Axle Turning Lathe,Check way cover condition,Monthly,Yes,Yes,Shock Absorber Shop
CR-MAT-0006,CNC Axle Turning Lathe,Inspect chip conveyor operation,Monthly,Yes,No,Shock Absorber Shop
CR-MAT-0006,CNC Axle Turning Lathe,Verify axis ball screw backlash,Quarterly,No,Yes,Shock Absorber Shop
CR-MAT-0006,CNC Axle Turning Lathe,Check emergency stop circuit integrity,Monthly,Yes,Yes,Shock Absorber Shop
CR-MAT-0007,Hydraulic Wheel Press,Check hydraulic pressure stability,Monthly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0007,Hydraulic Wheel Press,Inspect piston seals,Monthly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0007,Hydraulic Wheel Press,Verify load cell calibration,Quarterly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0007,Hydraulic Wheel Press,Inspect hydraulic oil contamination,Monthly,No,No,Wheel Reprofiling Plant
CR-MAT-0007,Hydraulic Wheel Press,Check pressure relief valve operation,Quarterly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0007,Hydraulic Wheel Press,Inspect pump motor current draw,Monthly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0007,Hydraulic Wheel Press,Check ram alignment,Quarterly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0007,Hydraulic Wheel Press,Verify pressure gauge calibration,Quarterly,No,Yes,Wheel Reprofiling Plant
CR-MAT-0007,Hydraulic Wheel Press,Inspect hoses for leaks,Monthly,No,Yes,Wheel Reprofiling Plant
CR-MAT-0007,Hydraulic Wheel Press,Check emergency stop function,Monthly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0007,Hydraulic Wheel Press,Inspect structural frame bolts,Quarterly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0007,Hydraulic Wheel Press,Clean hydraulic reservoir breather,Monthly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0008,CNC Axle Turning Lathe,Check CNC axis calibration,Monthly,Yes,Yes,Axle Turning Lathe Section
CR-MAT-0008,CNC Axle Turning Lathe,Inspect hydraulic pressure system,Monthly,Yes,No,Axle Turning Lathe Section
CR-MAT-0008,CNC Axle Turning Lathe,Check spindle bearing vibration,Quarterly,Yes,No,Axle Turning Lathe Section
CR-MAT-0008,CNC Axle Turning Lathe,Verify servo motor performance,Quarterly,No,Yes,Axle Turning Lathe Section
CR-MAT-0008,CNC Axle Turning Lathe,Inspect lubrication pump operation,Monthly,Yes,Yes,Axle Turning Lathe Section
CR-MAT-0008,CNC Axle Turning Lathe,Check tool turret indexing accuracy,Monthly,Yes,No,Axle Turning Lathe Section
CR-MAT-0008,CNC Axle Turning Lathe,Inspect coolant filtration unit,Monthly,Yes,Yes,Axle Turning Lathe Section
CR-MAT-0008,CNC Axle Turning Lathe,Verify CNC backup battery health,Quarterly,Yes,Yes,Axle Turning Lathe Section
CR-MAT-0008,CNC Axle Turning Lathe,Check way cover condition,Monthly,No,No,Axle Turning Lathe Section
CR-MAT-0008,CNC Axle Turning Lathe,Inspect chip conveyor operation,Monthly,No,No,Axle Turning Lathe Section
CR-MAT-0008,CNC Axle Turning Lathe,Verify axis ball screw backlash,Quarterly,No,No,Axle Turning Lathe Section
CR-MAT-0008,CNC Axle Turning Lathe,Check emergency stop circuit integrity,Monthly,No,Yes,Axle Turning Lathe Section
CR-MAT-0009,Spring Testing Machine,General lubrication of moving parts,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0009,Spring Testing Machine,Check electrical panel health,Quarterly,No,Yes,Lifting Underframe Shop
CR-MAT-0009,Spring Testing Machine,Inspect structural bolts tightness,Quarterly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0009,Spring Testing Machine,Check vibration levels,Monthly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0009,Spring Testing Machine,Verify emergency stop function,Monthly,No,Yes,Lifting Underframe Shop
CR-MAT-0009,Spring Testing Machine,Inspect hydraulic / pneumatic lines,Monthly,No,No,Lifting Underframe Shop
CR-MAT-0009,Spring Testing Machine,Check sensor calibration,Quarterly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0009,Spring Testing Machine,Inspect safety guards,Monthly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0009,Spring Testing Machine,Check noise levels,Monthly,No,Yes,Lifting Underframe Shop
CR-MAT-0009,Spring Testing Machine,Inspect foundation integrity,Yearly,Yes,No,Lifting Underframe Shop
CR-MAT-0009,Spring Testing Machine,Verify control system backup,Quarterly,No,No,Lifting Underframe Shop
CR-MAT-0009,Spring Testing Machine,Clean machine body and surroundings,Monthly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0010,Radial Drilling Machine,Check spindle alignment,Monthly,No,Yes,Wheel Reprofiling Plant
CR-MAT-0010,Radial Drilling Machine,Lubricate column guideways,Monthly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0010,Radial Drilling Machine,Inspect motor current draw,Quarterly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0010,Radial Drilling Machine,Check coolant flow,Monthly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0010,Radial Drilling Machine,Inspect chuck wear,Quarterly,No,Yes,Wheel Reprofiling Plant
CR-MAT-0010,Radial Drilling Machine,Check belt tension,Monthly,No,No,Wheel Reprofiling Plant
CR-MAT-0010,Radial Drilling Machine,Verify emergency stop function,Monthly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0010,Radial Drilling Machine,Check foundation bolts tightness,Quarterly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0010,Radial Drilling Machine,Inspect wiring insulation,Quarterly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0010,Radial Drilling Machine,Check vibration levels,Monthly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0010,Radial Drilling Machine,Verify speed calibration,Quarterly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0010,Radial Drilling Machine,Clean chip trays and guards,Monthly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0011,Slotting Machine,General lubrication of moving parts,Monthly,Yes,Yes,Automatic Bogie Wash Plant
CR-MAT-0011,Slotting Machine,Check electrical panel health,Quarterly,Yes,No,Automatic Bogie Wash Plant
CR-MAT-0011,Slotting Machine,Inspect structural bolts tightness,Quarterly,Yes,Yes,Automatic Bogie Wash Plant
CR-MAT-0011,Slotting Machine,Check vibration levels,Monthly,Yes,No,Automatic Bogie Wash Plant
CR-MAT-0011,Slotting Machine,Verify emergency stop function,Monthly,Yes,Yes,Automatic Bogie Wash Plant
CR-MAT-0011,Slotting Machine,Inspect hydraulic / pneumatic lines,Monthly,Yes,No,Automatic Bogie Wash Plant
CR-MAT-0011,Slotting Machine,Check sensor calibration,Quarterly,Yes,No,Automatic Bogie Wash Plant
CR-MAT-0011,Slotting Machine,Inspect safety guards,Monthly,No,No,Automatic Bogie Wash Plant
CR-MAT-0011,Slotting Machine,Check noise levels,Monthly,Yes,Yes,Automatic Bogie Wash Plant
CR-MAT-0011,Slotting Machine,Inspect foundation integrity,Yearly,Yes,Yes,Automatic Bogie Wash Plant
CR-MAT-0011,Slotting Machine,Verify control system backup,Quarterly,No,No,Automatic Bogie Wash Plant
CR-MAT-0011,Slotting Machine,Clean machine body and surroundings,Monthly,Yes,No,Automatic Bogie Wash Plant
CR-MAT-0012,Grinding Machine,General lubrication of moving parts,Monthly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0012,Grinding Machine,Check electrical panel health,Quarterly,No,No,LHB Coach Maintenance Facility
CR-MAT-0012,Grinding Machine,Inspect structural bolts tightness,Quarterly,No,Yes,LHB Coach Maintenance Facility
CR-MAT-0012,Grinding Machine,Check vibration levels,Monthly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0012,Grinding Machine,Verify emergency stop function,Monthly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0012,Grinding Machine,Inspect hydraulic / pneumatic lines,Monthly,No,Yes,LHB Coach Maintenance Facility
CR-MAT-0012,Grinding Machine,Check sensor calibration,Quarterly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0012,Grinding Machine,Inspect safety guards,Monthly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0012,Grinding Machine,Check noise levels,Monthly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0012,Grinding Machine,Inspect foundation integrity,Yearly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0012,Grinding Machine,Verify control system backup,Quarterly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0012,Grinding Machine,Clean machine body and surroundings,Monthly,No,Yes,LHB Coach Maintenance Facility
CR-MAT-0013,Bearing Induction Heater,General lubrication of moving parts,Monthly,Yes,No,Heavy Corrosion Shop
CR-MAT-0013,Bearing Induction Heater,Check electrical panel health,Quarterly,Yes,No,Heavy Corrosion Shop
CR-MAT-0013,Bearing Induction Heater,Inspect structural bolts tightness,Quarterly,Yes,Yes,Heavy Corrosion Shop
CR-MAT-0013,Bearing Induction Heater,Check vibration levels,Monthly,Yes,Yes,Heavy Corrosion Shop
CR-MAT-0013,Bearing Induction Heater,Verify emergency stop function,Monthly,No,Yes,Heavy Corrosion Shop
CR-MAT-0013,Bearing Induction Heater,Inspect hydraulic / pneumatic lines,Monthly,Yes,Yes,Heavy Corrosion Shop
CR-MAT-0013,Bearing Induction Heater,Check sensor calibration,Quarterly,Yes,No,Heavy Corrosion Shop
CR-MAT-0013,Bearing Induction Heater,Inspect safety guards,Monthly,No,No,Heavy Corrosion Shop
CR-MAT-0013,Bearing Induction Heater,Check noise levels,Monthly,Yes,Yes,Heavy Corrosion Shop
CR-MAT-0013,Bearing Induction Heater,Inspect foundation integrity,Yearly,Yes,No,Heavy Corrosion Shop
CR-MAT-0013,Bearing Induction Heater,Verify control system backup,Quarterly,Yes,Yes,Heavy Corrosion Shop
CR-MAT-0013,Bearing Induction Heater,Clean machine body and surroundings,Monthly,No,No,Heavy Corrosion Shop
CR-MAT-0014,Slotting Machine,General lubrication of moving parts,Monthly,No,Yes,Shock Absorber Shop
CR-MAT-0014,Slotting Machine,Check electrical panel health,Quarterly,Yes,No,Shock Absorber Shop
CR-MAT-0014,Slotting Machine,Inspect structural bolts tightness,Quarterly,No,No,Shock Absorber Shop
CR-MAT-0014,Slotting Machine,Check vibration levels,Monthly,Yes,Yes,Shock Absorber Shop
CR-MAT-0014,Slotting Machine,Verify emergency stop function,Monthly,Yes,No,Shock Absorber Shop
CR-MAT-0014,Slotting Machine,Inspect hydraulic / pneumatic lines,Monthly,Yes,Yes,Shock Absorber Shop
CR-MAT-0014,Slotting Machine,Check sensor calibration,Quarterly,Yes,Yes,Shock Absorber Shop
CR-MAT-0014,Slotting Machine,Inspect safety guards,Monthly,Yes,Yes,Shock Absorber Shop
CR-MAT-0014,Slotting Machine,Check noise levels,Monthly,Yes,No,Shock Absorber Shop
CR-MAT-0014,Slotting Machine,Inspect foundation integrity,Yearly,Yes,Yes,Shock Absorber Shop
CR-MAT-0014,Slotting Machine,Verify control system backup,Quarterly,No,No,Shock Absorber Shop
CR-MAT-0014,Slotting Machine,Clean machine body and surroundings,Monthly,Yes,No,Shock Absorber Shop
CR-MAT-0015,Grinding Machine,General lubrication of moving parts,Monthly,Yes,No,Axle Turning Lathe Section
CR-MAT-0015,Grinding Machine,Check electrical panel health,Quarterly,No,Yes,Axle Turning Lathe Section
CR-MAT-0015,Grinding Machine,Inspect structural bolts tightness,Quarterly,Yes,No,Axle Turning Lathe Section
CR-MAT-0015,Grinding Machine,Check vibration levels,Monthly,Yes,Yes,Axle Turning Lathe Section
CR-MAT-0015,Grinding Machine,Verify emergency stop function,Monthly,Yes,No,Axle Turning Lathe Section
CR-MAT-0015,Grinding Machine,Inspect hydraulic / pneumatic lines,Monthly,No,No,Axle Turning Lathe Section
CR-MAT-0015,Grinding Machine,Check sensor calibration,Quarterly,Yes,Yes,Axle Turning Lathe Section
CR-MAT-0015,Grinding Machine,Inspect safety guards,Monthly,No,No,Axle Turning Lathe Section
CR-MAT-0015,Grinding Machine,Check noise levels,Monthly,Yes,Yes,Axle Turning Lathe Section
CR-MAT-0015,Grinding Machine,Inspect foundation integrity,Yearly,Yes,Yes,Axle Turning Lathe Section
CR-MAT-0015,Grinding Machine,Verify control system backup,Quarterly,No,Yes,Axle Turning Lathe Section
CR-MAT-0015,Grinding Machine,Clean machine body and surroundings,Monthly,Yes,Yes,Axle Turning Lathe Section
CR-MAT-0016,Shaper Machine,General lubrication of moving parts,Monthly,Yes,No,Centre Lathe Section
CR-MAT-0016,Shaper Machine,Check electrical panel health,Quarterly,Yes,Yes,Centre Lathe Section
CR-MAT-0016,Shaper Machine,Inspect structural bolts tightness,Quarterly,Yes,No,Centre Lathe Section
CR-MAT-0016,Shaper Machine,Check vibration levels,Monthly,Yes,Yes,Centre Lathe Section
CR-MAT-0016,Shaper Machine,Verify emergency stop function,Monthly,Yes,No,Centre Lathe Section
CR-MAT-0016,Shaper Machine,Inspect hydraulic / pneumatic lines,Monthly,Yes,No,Centre Lathe Section
CR-MAT-0016,Shaper Machine,Check sensor calibration,Quarterly,Yes,No,Centre Lathe Section
CR-MAT-0016,Shaper Machine,Inspect safety guards,Monthly,Yes,Yes,Centre Lathe Section
CR-MAT-0016,Shaper Machine,Check noise levels,Monthly,Yes,Yes,Centre Lathe Section
CR-MAT-0016,Shaper Machine,Inspect foundation integrity,Yearly,Yes,Yes,Centre Lathe Section
CR-MAT-0016,Shaper Machine,Verify control system backup,Quarterly,Yes,No,Centre Lathe Section
CR-MAT-0016,Shaper Machine,Clean machine body and surroundings,Monthly,Yes,Yes,Centre Lathe Section
CR-MAT-0017,Ultrasonic Wheel Inspection System,General lubrication of moving parts,Monthly,No,No,LHB Coach Maintenance Facility
CR-MAT-0017,Ultrasonic Wheel Inspection System,Check electrical panel health,Quarterly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0017,Ultrasonic Wheel Inspection System,Inspect structural bolts tightness,Quarterly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0017,Ultrasonic Wheel Inspection System,Check vibration levels,Monthly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0017,Ultrasonic Wheel Inspection System,Verify emergency stop function,Monthly,No,Yes,LHB Coach Maintenance Facility
CR-MAT-0017,Ultrasonic Wheel Inspection System,Inspect hydraulic / pneumatic lines,Monthly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0017,Ultrasonic Wheel Inspection System,Check sensor calibration,Quarterly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0017,Ultrasonic Wheel Inspection System,Inspect safety guards,Monthly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0017,Ultrasonic Wheel Inspection System,Check noise levels,Monthly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0017,Ultrasonic Wheel Inspection System,Inspect foundation integrity,Yearly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0017,Ultrasonic Wheel Inspection System,Verify control system backup,Quarterly,Yes,No,LHB Coach Maintenance Facility
CR-MAT-0017,Ultrasonic Wheel Inspection System,Clean machine body and surroundings,Monthly,Yes,Yes,LHB Coach Maintenance Facility
CR-MAT-0018,Gang Drilling Machine,Check multi spindle alignment,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0018,Gang Drilling Machine,Lubricate feed gears,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0018,Gang Drilling Machine,Inspect tool holders,Quarterly,Yes,No,Lifting Underframe Shop
CR-MAT-0018,Gang Drilling Machine,Check coolant distribution manifold,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0018,Gang Drilling Machine,Inspect motor load balance,Quarterly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0018,Gang Drilling Machine,Verify spindle synchronization,Quarterly,No,Yes,Lifting Underframe Shop
CR-MAT-0018,Gang Drilling Machine,Check belt condition,Monthly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0018,Gang Drilling Machine,Inspect electrical relays,Quarterly,No,Yes,Lifting Underframe Shop
CR-MAT-0018,Gang Drilling Machine,Check vibration levels,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0018,Gang Drilling Machine,Verify safety guards interlock,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0018,Gang Drilling Machine,Check spindle nose wear,Quarterly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0018,Gang Drilling Machine,Clean chip conveyor,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0019,Planer Machine,General lubrication of moving parts,Monthly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0019,Planer Machine,Check electrical panel health,Quarterly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0019,Planer Machine,Inspect structural bolts tightness,Quarterly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0019,Planer Machine,Check vibration levels,Monthly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0019,Planer Machine,Verify emergency stop function,Monthly,No,Yes,Wheel Reprofiling Plant
CR-MAT-0019,Planer Machine,Inspect hydraulic / pneumatic lines,Monthly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0019,Planer Machine,Check sensor calibration,Quarterly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0019,Planer Machine,Inspect safety guards,Monthly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0019,Planer Machine,Check noise levels,Monthly,No,Yes,Wheel Reprofiling Plant
CR-MAT-0019,Planer Machine,Inspect foundation integrity,Yearly,Yes,No,Wheel Reprofiling Plant
CR-MAT-0019,Planer Machine,Verify control system backup,Quarterly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0019,Planer Machine,Clean machine body and surroundings,Monthly,Yes,Yes,Wheel Reprofiling Plant
CR-MAT-0020,Wheel Re-Disking Machine,General lubrication of moving parts,Monthly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0020,Wheel Re-Disking Machine,Check electrical panel health,Quarterly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0020,Wheel Re-Disking Machine,Inspect structural bolts tightness,Quarterly,Yes,No,Lifting Underframe Shop
CR-MAT-0020,Wheel Re-Disking Machine,Check vibration levels,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0020,Wheel Re-Disking Machine,Verify emergency stop function,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0020,Wheel Re-Disking Machine,Inspect hydraulic / pneumatic lines,Monthly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0020,Wheel Re-Disking Machine,Check sensor calibration,Quarterly,Yes,Yes,Lifting Underframe Shop
CR-MAT-0020,Wheel Re-Disking Machine,Inspect safety guards,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0020,Wheel Re-Disking Machine,Check noise levels,Monthly,No,No,Lifting Underframe Shop
CR-MAT-0020,Wheel Re-Disking Machine,Inspect foundation integrity,Yearly,Yes,No,Lifting Underframe Shop
CR-MAT-0020,Wheel Re-Disking Machine,Verify control system backup,Quarterly,Yes,No,Lifting Underframe Shop
CR-MAT-0020,Wheel Re-Disking Machine,Clean machine body and surroundings,Monthly,Yes,No,Lifting Underframe Shop
CR-MAT-0021,Hydraulic Wheel Press,Check hydraulic pressure stability,Monthly,Yes,No,Shock Absorber Shop
CR-MAT-0021,Hydraulic Wheel Press,Inspect piston seals,Monthly,No,Yes,Shock Absorber Shop
CR-MAT-0021,Hydraulic Wheel Press,Verify load cell calibration,Quarterly,Yes,No,Shock Absorber Shop
CR-MAT-0021,Hydraulic Wheel Press,Inspect hydraulic oil contamination,Monthly,No,Yes,Shock Absorber Shop
CR-MAT-0021,Hydraulic Wheel Press,Check pressure relief valve operation,Quarterly,Yes,Yes,Shock Absorber Shop
CR-MAT-0021,Hydraulic Wheel Press,Inspect pump motor current draw,Monthly,Yes,No,Shock Absorber Shop
CR-MAT-0021,Hydraulic Wheel Press,Check ram alignment,Quarterly,Yes,No,Shock Absorber Shop
